item,body,rating
Kentucky Brunch Brand Stout,,4.75
Kentucky Brunch Brand Stout,"Amazing stout, expensive but worth the price!",5
Kentucky Brunch Brand Stout,,4.52
Kentucky Brunch Brand Stout,,5
Kentucky Brunch Brand Stout,This beer meet and exceeded all the unreal hype. It is simply amazing!,5
Kentucky Brunch Brand Stout,,5
Kentucky Brunch Brand Stout,Let it sit and warm to the room a little ... unbelievable.,5
Kentucky Brunch Brand Stout,"A small pour, ebony dark, no real head. Intense, rich aroma, brownies and German chocolate cake; dark sweetness. The taste amplifies the smell with the addition of sublime Kentucky bourbon. Heavy body; dense, chewy residual sugar feel with a sublime whiskey heat. 
 
This beauty was generously provided by @azuelke (Adam) at a bottle share hosted by @GreenBayBA in Sheboygan, WI. There were many great beers sample, many beautiful and exquisite dark beers, but nothing quite like this legendary beer. If ever you have a chance to try this one, all I can say is don't pass it up. The beer lives up to its legendary status. 
 
Pouring temperature: n/a; bottling info: unknown year, bottle number #138 
Source: @azuelke (Adam), Sheboygan, WI bottle share",4.67
Kentucky Brunch Brand Stout,,4.96
Kentucky Brunch Brand Stout,,4.5
Kentucky Brunch Brand Stout,,4.75
Kentucky Brunch Brand Stout,,4.75
Kentucky Brunch Brand Stout,,5
Kentucky Brunch Brand Stout,,4.78
Kentucky Brunch Brand Stout,"Vintage 2022, served on tap at Toppling Goliath in a ""snulip"" glass. Opaque deep blackish brown in color, with garnet highlights and a wisp of tan head. Where to start? Notes of cocoa, molasses, licorice, cherry cola, and maple syrup. The bourbon/barrel was, surprisingly, quite understated. Full body, almost syrupy, with good carbonation and a chewy mouthfeel. This finishes cleanly, with hints of roasted malt, maple syrup, and molasses lingering on the finish. This was incredibly easy drinking and not at all boozy despite the high ABV, and it was so good that I wanted to lick the glass clean. World class all the way.",5
Kentucky Brunch Brand Stout,,4.84
Kentucky Brunch Brand Stout,,4.69
Kentucky Brunch Brand Stout,,5
Kentucky Brunch Brand Stout,,4.96
Kentucky Brunch Brand Stout,,4.9
A Deal With The Devil - Triple Oak-Aged,,4.63
Mornin' Delight,,4.27
Mornin' Delight,,5
Mornin' Delight,,4.29
Mornin' Delight,,4.25
Mornin' Delight,,4.95
Mornin' Delight,I don't know about first thing in morning ... but then again ...,5
Mornin' Delight,,4.33
Mornin' Delight,,4.4
Mornin' Delight,,4.95
Mornin' Delight,"On tap at O’Shea Homebrew in San Juan Capistrano, CA. 
 
If the sugar plum fairy and Cookie Monster made a baby, I’m sure this is what Mrs. Plum Fairy would lactate. I mean, damn…we are talking sweet. That said, it’s all kinds of balanced and on point like nailing a bullseye at darts before you drain your first beer… What is Raul getting at here? Yeah, he doesn’t play darts. MD is good, but not Raul’s thing. I guess that’s what I meant. Happy to try it (unlike my one and only time at Raising Canes), but I’ll happily move on after having it.",4.25
Mornin' Delight,,4.61
Mornin' Delight,"What's not to like about this beer? From the time I opened it, until I finished the last sip, the aroma in the room was that of maple and coffee! It was like a dessert being prepared before you and the scent lingering in trying to attract you. It's mouthwatering to an extent. This is one of those things in life that tastes just like it smells. ""Delight"" is exactly what it is! I am thankful they upped the limits this year, because it's hard to keep my hands off the bottles when I open the fridge. Cheers!",4.7
Mornin' Delight,"Appearance - The beer was black in appearance with a smooth body that showed little visible carbonation and a modest tan head. 
 
Smell - Pancakes were immediately brought to mind with notes of coffee and maples syrup in the nose. It was like breakfast for dinner. 
 
Taste - As with the nose, it was like breakfast for dinner. The maple syrup seemed to saturate the stout, permeating the body. The beer was not overly sweet, but was balanced by the coffee notes. It seemed as though the coffee was washing down the sweetness. Notes of semi-sweet chocolate same toward the back, but the overall profile of chocolate chip pancakes with maple syrup lingered.  
 
Mouthfeel - The body was thick, but not quite motor oil quality. This made the beer more drinkable than the average heavy stout. Carbonation was still very present.  
 
Overall - The beer was definitely hype worth. Unlike some other TG beers, it was relatively easy to obtain.",4.71
Mornin' Delight,,4.73
Mornin' Delight,,4.46
Mornin' Delight,"2022 Variant - bottle split 4 ways - pours a a rich black with a nice mocha foam into a tulip. Overpowering maple on the nose, and was a little worried that this was going to be too sweet for me, and too much of a dessert stout, but the taste was so well balanced - maple sweetness was well calmed by the roasty coffee and baker's chocolate flavor.  
 
While MD was easier to obtain this year from a volume perspective, this was not a cheap bottle to get to Pittsburgh haha - overall - well worth it and while some of the shine might have worn off this beer nationally given it's more readily available, it's still a world class pour. Glad I have a bottle left.",4.74
Mornin' Delight,,4.8
Mornin' Delight,,5
Mornin' Delight,,4.53
Mornin' Delight,,4.56
Abraxas - Barrel-Aged,,4.19
Heady Topper,,4.83
Heady Topper,"For me this is the GOAT. Don’t want to repeat what has already been said, but it just has an unbelievable balance and a je ne sais quoi that is extremely satisfying to enjoy. A beer that elevates the experience from a tasty beverage to something to transform the simple act of drinking into something more thought provoking. Also, for me it is much more balanced than Focal, which some prefer. Cheers.",4.96
